title,company,description,requirements,location,salary,fraudulent
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1461534,1
Backend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1010131,0
No Skill Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,949484,1
Earn ₹5000 Daily,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1369274,1
Data Scientist,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,916253,0
System Administrator,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,374966,0
System Administrator,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,336910,0
Cybersecurity Analyst,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,706606,0
UI/UX Designer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,313034,0
Backend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,611975,0
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,829109,1
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1377941,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1194772,1
Cybersecurity Analyst,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,346128,0
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,761068,1
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1771454,1
UI/UX Designer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,512030,0
Frontend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,657334,0
Backend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,478107,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1163288,1
Cybersecurity Analyst,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,536206,0
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,877170,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,656569,1
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1705140,1
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,979946,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,855016,1
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1485305,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,649084,1
Data Scientist,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,557536,0
Data Scientist,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1063004,0
Software Engineer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1176522,0
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1594303,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1657731,1
Cybersecurity Analyst,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,333815,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1481278,1
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1924432,1
Data Scientist,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,332783,0
Earn ₹5000 Daily,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1532174,1
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,994338,1
DevOps Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1134166,0
System Administrator,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,878058,0
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1350938,1
DevOps Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,736004,0
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1146932,1
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1023018,1
Backend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,837247,0
UI/UX Designer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,817403,0
UI/UX Designer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,568638,0
Cybersecurity Analyst,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1088892,0
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1651455,1
DevOps Engineer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,763373,0
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1454309,1
DevOps Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,576562,0
Software Engineer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,449040,0
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1100747,1
DevOps Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,999997,0
UI/UX Designer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1126908,0
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1388796,1
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1876707,1
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1347669,1
Work From Home Typing,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1253976,1
Frontend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1012402,0
Backend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,752648,0
DevOps Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1097838,0
Software Engineer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1079116,0
Software Engineer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,649399,0
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,756107,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1192279,1
System Administrator,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,913009,0
Software Engineer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,937851,0
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1200866,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1136549,1
Backend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,479938,0
Work From Home Typing,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1689919,1
No Skill Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1583119,1
Backend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1146521,0
Software Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,392190,0
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1757080,1
Earn ₹5000 Daily,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1867223,1
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,911351,1
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,730722,1
System Administrator,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,740029,0
UI/UX Designer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,985555,0
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,518869,0
UI/UX Designer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,677829,0
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,750276,1
UI/UX Designer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,1005198,0
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1387268,1
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,674087,1
DevOps Engineer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,549965,0
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1513108,1
Frontend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,343508,0
Frontend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,768582,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1599547,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1480423,1
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,755991,1
Earn ₹5000 Daily,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,945051,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,906004,1
DevOps Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1084696,0
System Administrator,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,756532,0
Backend Developer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1108985,0
Software Engineer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,422450,0
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,965891,1
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,677952,1
Software Engineer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,311980,0
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1084053,0
UI/UX Designer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,497993,0
Data Scientist,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,636115,0
Cybersecurity Analyst,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,662126,0
System Administrator,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,459187,0
Backend Developer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1055903,0
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1646943,1
Cybersecurity Analyst,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1073080,0
Cybersecurity Analyst,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1128963,0
No Skill Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,830745,1
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1093056,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1556479,1
DevOps Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,970784,0
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1431687,1
Cybersecurity Analyst,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,878160,0
Data Scientist,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,633230,0
Frontend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1044343,0
Cybersecurity Analyst,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,427410,0
Backend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,943662,0
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,774218,1
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,912800,1
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1609976,1
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1955978,1
System Administrator,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,819866,0
Software Engineer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,463922,0
No Skill Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1096326,1
UI/UX Designer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,486991,0
Software Engineer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1171869,0
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,579934,0
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1070353,1
System Administrator,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,687724,0
Frontend Developer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,484887,0
Cybersecurity Analyst,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,548674,0
System Administrator,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,466197,0
Software Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,767714,0
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1750932,1
System Administrator,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,594990,0
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1035993,1
Data Scientist,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,694889,0
DevOps Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,634600,0
Software Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,941120,0
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1453108,1
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,639242,1
Cybersecurity Analyst,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,727972,0
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1781452,1
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1463005,1
Earn ₹5000 Daily,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1753264,1
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1465811,1
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1638780,1
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1316273,1
Data Scientist,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1128193,0
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1920520,1
DevOps Engineer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,380361,0
Data Scientist,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,683307,0
System Administrator,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,750853,0
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,767073,1
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1185217,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1206871,1
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,657125,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,774387,1
Cybersecurity Analyst,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,467500,0
Cybersecurity Analyst,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,475782,0
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1383360,1
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1209721,1
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,838376,0
Earn ₹5000 Daily,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1852685,1
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1586451,1
Cybersecurity Analyst,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,554058,0
DevOps Engineer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,995268,0
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1620582,1
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,798080,0
Data Scientist,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,697661,0
Work From Home Typing,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1457091,1
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1813098,1
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1461313,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1853480,1
Backend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,647137,0
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,671929,1
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,652457,1
Cybersecurity Analyst,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,508286,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1732345,1
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1782409,1
DevOps Engineer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1068927,0
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,996465,1
Backend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,694776,0
Data Scientist,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,950611,0
UI/UX Designer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1112234,0
Cybersecurity Analyst,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,833202,0
Backend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,442077,0
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1486412,1
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1636222,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,844109,1
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,999011,1
Online Form Filling,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,919036,1
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1269972,1
System Administrator,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1115068,0
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1024530,1
Frontend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,421183,0
No Skill Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1669189,1
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1774858,1
Cybersecurity Analyst,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,392555,0
Data Scientist,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,908359,0
DevOps Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,861967,0
DevOps Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,346521,0
Earn ₹5000 Daily,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1612715,1
Frontend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,810807,0
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1755865,1
Cybersecurity Analyst,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,702976,0
